line_no,section_context,raw_line,days,time_ranges,course_codes,professors,groups,rooms
11,2nd Year — Semester 2-1 (2022 Batch),**Time Slots:** 08:25 – 9:20 a.m. | 09:25 – 10:20 a.m. | 10:35-11:30 a.m | 11:35 am- 12:30 pm | 12:35 pm- 1:30p.m. | 1:35 -2:30p.m. | 2:35 -3:30p.m. | 3:35 -4:30p.m. | 4:35 -5:30p.m. | 5:35 pm - 6:30 pm,,08:25 – 9:20; 09:25 – 10:20; 10:35-11:30; 11:35 am- 12:30 pm; 12:35 pm- 1; 1:35 -2; 2:35 -3; 3:35 -4; 4:35 -5; 5:35 pm - 6:30 pm,,,,
17,2nd Year — Semester 2-1 (2022 Batch) > Monday > Section: CS1 (83) (355.0 students),- **08:25 – 9:20 a.m.**: MA2103(Maths- III) Dr. Rakesh/ Dr. Sanjukta (ELT 3),Monday,08:25 – 9:20,MA2103,Dr. Rakesh; Dr. Sanjukta,,ELT3
18,2nd Year — Semester 2-1 (2022 Batch) > Monday > Section: CS1 (83) (355.0 students),- **09:25 – 10:20 a.m.**: HS2102 (Principles of Economics)  Dr. Anagha Tobi (ELT 3),Monday,09:25 – 10:20,HS2102,Dr. Anagha Tobi,,ELT3
19,2nd Year — Semester 2-1 (2022 Batch) > Monday > Section: CS1 (83) (355.0 students),- **10:35-11:30 a.m**: HS2103 (T) French III  Dr.Kumudham (ECR 7),Monday,10:35-11:30,HS2103,,,ECR7
20,2nd Year — Semester 2-1 (2022 Batch) > Monday > Section: CS1 (83) (355.0 students),- **11:35 am- 12:30 pm**: CS/AI2101 (Optimization Techniques for AI)  Dr. A. Pujari (ELT 3) | MA2104 (Real Analysis) Dr. Rakhee (ECR 11),Monday,11:35 am- 12:30 pm,CS/AI2101; ECR 11; MA2104,Dr. Rakhee,,ECR11; ELT3
21,2nd Year — Semester 2-1 (2022 Batch) > Monday > Section: CS1 (83) (355.0 students),- **12:35 pm- 1:30p.m.**: CS/AI 2102(Design and Analysis of Algorithms) Dr. Ravi Kishor (except ECE) (Auditorium),Monday,12:35 pm- 1,CS/AI 2102,Dr. Ravi Kishor,,Auditorium
22,2nd Year — Semester 2-1 (2022 Batch) > Monday > Section: CS1 (83) (355.0 students),- **1:35 -2:30p.m.**: LUNCH,Monday,1:35 -2,,,,
23,2nd Year — Semester 2-1 (2022 Batch) > Monday > Section: CS1 (83) (355.0 students),- **2:35 -3:30p.m.**: PH2102 (P),Monday,2:35 -3,PH2102,,,
24,2nd Year — Semester 2-1 (2022 Batch) > Monday > Section: CS1 (83) (355.0 students),- **4:35 -5:30p.m.**: CS2102 (Programming work shop)  Dr. Neha (E-LT 3) / | MA2107 (only for CM) Dr. Biswarup (comp Lab 3),Monday,4:35 -5,CS2102; MA2107,Dr. Biswarup; Dr. Neha,,COMP Lab; ELT3
28,2nd Year — Semester 2-1 (2022 Batch) > Monday > Section: CS2 (83),- **10:35-11:30 a.m**: HS2103 (T) French III  Dr. Sherlin (ECR 9),Monday,10:35-11:30,HS2103,Dr. Sherlin,,ECR9
